Pr1,Pr2,Pr3,FA1,FA2,FA3,FI1,FI2,FI3,CONDITION
4,4,4,4,4,4,4,4,4,D
3,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,3,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,4,3,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,4,3,4,4,4,4,4,D
3,3,4,3,3,3,3,3,3,D
4,4,4,4,4,4,3,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,4,4,4,4,4,4,4,D
2,4,4,4,3,3,3,3,4,D
3,4,3,4,4,4,4,4,4,D
3,3,4,4,2,2,4,4,3,D
2,4,3,3,4,4,3,3,3,D
3,2,2,3,3,3,2,2,2,D
4,4,4,4,4,4,2,2,2,D
4,3,4,3,4,4,4,4,4,D
4,4,3,4,4,4,4,3,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,4,4,4,3,4,4,4,D
4,4,4,3,3,3,4,4,4,D
3,3,2,2,4,4,1,4,2,D
3,4,4,4,4,4,4,4,3,D
3,4,4,3,4,3,3,3,4,D
3,4,4,4,4,3,4,4,4,D
4,4,4,4,4,4,4,4,4,D
3,3,3,3,3,4,4,3,3,D
4,4,4,4,4,3,4,4,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,3,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,3,4,3,3,4,4,3,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,3,3,4,3,3,3,4,D
3,3,3,3,3,3,4,3,3,D
3,4,4,4,4,4,3,3,3,D
4,4,4,3,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,3,4,3,3,D
4,3,4,3,3,4,3,3,4,D
4,3,4,3,3,3,2,4,3,D
2,1,2,0,2,2,1,2,1,D
4,4,4,4,4,4,4,4,4,D
4,3,3,4,4,3,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
